Date,MSCI USA Prime Value Index
2016-11-11,6865.211857
2016-11-14,6906.034965
2016-11-15,6942.236734
2016-11-16,6931.360755
2016-11-17,6941.403314
2016-11-18,6929.870797
2016-11-21,6980.968591
2016-11-22,7010.535417
2016-11-23,7026.53062
2016-11-24,7026.53062
2016-11-25,7048.94671
2016-11-28,7007.596076
2016-11-29,7013.024222
2016-11-30,7031.952049
2016-12-01,7034.480636
2016-12-02,7033.828037
2016-12-05,7060.135984
2016-12-06,7084.101701
2016-12-07,7185.10205
2016-12-08,7201.338339
2016-12-09,7229.452559
2016-12-12,7223.382983
2016-12-13,7272.175538
2016-12-14,7206.211948
2016-12-15,7224.627691
2016-12-16,7205.476937
2016-12-19,7214.187396
2016-12-20,7240.971558
2016-12-21,7221.155929
2016-12-22,7191.033193
2016-12-23,7199.720409
2016-12-26,7199.720409
2016-12-27,7216.147926
2016-12-28,7154.425287
2016-12-29,7149.341957
2016-12-30,7118.529536
2017-01-02,7118.529536
2017-01-03,7174.331117
2017-01-04,7209.995028
2017-01-05,7185.658579
2017-01-06,7187.843895
2017-01-09,7154.436823
2017-01-10,7157.010884
2017-01-11,7180.271514
2017-01-12,7160.32592
2017-01-13,7166.211059
2017-01-16,7166.211059
2017-01-17,7155.511736
2017-01-18,7162.007386
2017-01-19,7137.07797
2017-01-20,7158.45171
2017-01-23,7118.923903
2017-01-24,7191.21996
2017-01-25,7248.28065
2017-01-26,7223.073843
2017-01-27,7203.541053
2017-01-30,7177.025499
2017-01-31,7169.42327
2017-02-01,7177.517527
2017-02-02,7171.937624
2017-02-03,7215.117314
2017-02-06,7204.792228
2017-02-07,7214.837117
2017-02-08,7207.773055
2017-02-09,7257.304023
2017-02-10,7280.935697
2017-02-13,7329.001158
2017-02-14,7369.460861
2017-02-15,7419.855944
2017-02-16,7415.992431
2017-02-17,7411.802002
2017-02-20,7411.802002
2017-02-21,7458.875067
2017-02-22,7450.573655
2017-02-23,7450.217485
2017-02-24,7466.630897
2017-02-27,7475.877112
2017-02-28,7436.783488
2017-03-01,7537.131639
2017-03-02,7493.598306
2017-03-03,7482.201653
2017-03-06,7453.157309
2017-03-07,7427.216798
2017-03-08,7418.339591
2017-03-09,7413.539903
2017-03-10,7435.390514
2017-03-13,7435.633697
2017-03-14,7415.088115
2017-03-15,7476.265853
2017-03-16,7473.25358
2017-03-17,7459.806881
2017-03-20,7438.710703
2017-03-21,7342.678953
2017-03-22,7367.2693
2017-03-23,7357.336565
2017-03-24,7330.840915
2017-03-27,7333.16948
2017-03-28,7392.898195
2017-03-29,7402.178443
2017-03-30,7434.9289
2017-03-31,7420.628558
2017-04-03,7398.781093
2017-04-04,7405.667288
2017-04-05,7370.339769
2017-04-06,7399.017345
2017-04-07,7403.235446
2017-04-10,7412.84954
2017-04-11,7398.365075
2017-04-12,7357.788021
2017-04-13,7308.619825
2017-04-14,7308.619825
2017-04-17,7366.582716
2017-04-18,7336.711263
2017-04-19,7319.443239
2017-04-20,7388.426854
2017-04-21,7368.719139
2017-04-24,7440.832671
2017-04-25,7476.935348
2017-04-26,7494.833152
2017-04-27,7509.990331
2017-04-28,7479.537033
2017-05-01,7480.079545
2017-05-02,7492.891822
2017-05-03,7488.678708
2017-05-04,7489.292369
2017-05-05,7524.467736
2017-05-08,7521.686734
2017-05-09,7519.659822
2017-05-10,7521.316553
2017-05-11,7507.162002
2017-05-12,7478.412721
2017-05-15,7506.731699
2017-05-16,7485.071331
2017-05-17,7356.323213
2017-05-18,7374.423496
2017-05-19,7431.612383
2017-05-22,7473.484374
2017-05-23,7483.961571
2017-05-24,7486.909944
2017-05-25,7520.462269
2017-05-26,7521.677251
2017-05-29,7521.677251
2017-05-30,7515.507444
2017-05-31,7523.699183
2017-06-01,7599.176641
2017-06-02,7602.221798
2017-06-05,7593.480733
2017-06-06,7552.053694
2017-06-07,7561.742866
2017-06-08,7574.501847
2017-06-09,7620.859172
2017-06-12,7623.158918
2017-06-13,7652.980402
2017-06-14,7644.403635
2017-06-15,7610.43128
2017-06-16,7581.433822
2017-06-19,7639.371398
2017-06-20,7581.147365
2017-06-21,7571.66606
2017-06-22,7577.81759
2017-06-23,7579.129478
2017-06-26,7601.588266
2017-06-27,7576.529584
2017-06-28,7651.142762
2017-06-29,7589.7587
2017-06-30,7613.971285
2017-07-03,7651.88777
2017-07-04,7651.88777
2017-07-05,7650.496422
2017-07-06,7572.12042
2017-07-07,7619.760519
