Date,MSCI USA Quality GARP Select Index
2009-10-19,138.0816968
2009-10-20,136.7027579
2009-10-21,135.5951372
2009-10-22,136.9876929
2009-10-23,135.8029769
2009-10-26,134.5231901
2009-10-27,133.8740558
2009-10-28,131.0202398
2009-10-29,133.5502439
2009-10-30,130.2591105
2009-11-02,131.2439838
2009-11-03,131.6787457
2009-11-04,131.9839399
2009-11-05,134.6905777
2009-11-06,135.0482412
2009-11-09,137.9357489
2009-11-10,137.6674852
2009-11-11,138.3448956
2009-11-12,137.1461247
2009-11-13,138.1152632
2009-11-16,140.1379172
2009-11-17,140.257004
2009-11-18,139.8226044
2009-11-19,138.0988061
2009-11-20,137.4658354
2009-11-23,139.2596227
2009-11-24,139.3141036
2009-11-25,140.154494
2009-11-26,140.154494
2009-11-27,137.9242946
2009-11-30,138.0888643
2009-12-01,139.8179349
2009-12-02,139.9021853
2009-12-03,138.5559051
2009-12-04,139.354529
2009-12-07,139.2215996
2009-12-08,137.7587396
2009-12-09,138.2601486
2009-12-10,139.6163855
2009-12-11,140.0362548
2009-12-14,141.7791795
2009-12-15,141.3785888
2009-12-16,141.7786792
2009-12-17,140.0793766
2009-12-18,140.9623937
2009-12-21,142.4241078
2009-12-22,143.0775841
2009-12-23,143.8738229
2009-12-24,144.5953358
2009-12-25,144.5953358
2009-12-28,144.871124
2009-12-29,144.6611268
2009-12-30,144.6355389
2009-12-31,142.9446945
2010-01-01,142.9446945
2010-01-04,145.4709025
2010-01-05,145.9341876
2010-01-06,146.0186743
2010-01-07,146.3921529
2010-01-08,147.2268613
2010-01-11,147.1265185
2010-01-12,145.7389522
2010-01-13,147.0933135
2010-01-14,147.5207216
2010-01-15,146.1356548
2010-01-18,146.1356548
2010-01-19,147.9939486
2010-01-20,146.1471074
2010-01-21,143.7906432
2010-01-22,140.3138767
2010-01-25,141.0630318
2010-01-26,140.7229733
2010-01-27,141.1452793
2010-01-28,139.0017472
2010-01-29,137.2808372
2010-02-01,139.4028092
2010-02-02,141.2254861
2010-02-03,140.8463064
2010-02-04,136.4430376
2010-02-05,136.7737385
2010-02-08,135.7055211
2010-02-09,137.6700131
2010-02-10,137.2224339
2010-02-11,138.8203091
2010-02-12,138.5955465
2010-02-15,138.5955465
2010-02-16,140.8968904
2010-02-17,141.6629691
2010-02-18,142.7702569
2010-02-19,142.9422544
2010-02-22,142.694151
2010-02-23,140.9423274
2010-02-24,142.3774921
2010-02-25,142.3650094
2010-02-26,142.489947
2010-03-01,144.1632811
2010-03-02,144.5821543
2010-03-03,144.532827
2010-03-04,144.9382369
2010-03-05,147.0992725
2010-03-08,147.0322195
2010-03-09,147.2884513
2010-03-10,147.9973397
2010-03-11,148.5895681
2010-03-12,148.5028735
2010-03-15,148.4723318
2010-03-16,149.3147317
2010-03-17,150.1043014
2010-03-18,150.2181014
2010-03-19,149.448211
2010-03-22,150.2688069
2010-03-23,151.1028609
2010-03-24,150.2018223
2010-03-25,150.0353765
2010-03-26,150.1358558
2010-03-29,151.173302
2010-03-30,151.4581274
2010-03-31,150.8998876
2010-04-01,151.9420277
2010-04-02,151.9420277
2010-04-05,153.3036925
2010-04-06,153.3412064
2010-04-07,152.4242798
2010-04-08,152.8392258
2010-04-09,154.0155789
2010-04-12,154.1421729
2010-04-13,154.3476569
2010-04-14,155.8367419
2010-04-15,156.0482783
2010-04-16,154.1156002
2010-04-19,154.6816816
2010-04-20,156.0154068
2010-04-21,156.1184933
2010-04-22,156.6442177
2010-04-23,157.7476934
2010-04-26,157.1569966
2010-04-27,153.7434185
2010-04-28,154.1285299
2010-04-29,156.013405
2010-04-30,153.2616015
2010-05-03,155.0659702
2010-05-04,151.1464894
2010-05-05,150.0683948
2010-05-06,145.4534654
2010-05-07,142.5599726
2010-05-10,148.8048553
2010-05-11,148.2680334
2010-05-12,150.8399968
2010-05-13,149.0180637
2010-05-14,146.1196987
2010-05-17,146.4094173
2010-05-18,144.6329908
2010-05-19,143.5618342
2010-05-20,138.091324
2010-05-21,139.9806305
2010-05-24,138.7125843
2010-05-25,138.5609599
2010-05-26,137.7923867
2010-05-27,142.2177351
2010-05-28,140.5545287
2010-05-31,140.5545287
2010-06-01,137.9891106
2010-06-02,141.4429829
2010-06-03,142.3509008
2010-06-04,137.4399592
2010-06-07,135.3762833
2010-06-08,136.3507941
2010-06-09,135.9016675
2010-06-10,139.9330768
2010-06-11,140.8103602
2010-06-14,140.7546976
2010-06-15,143.9934561
2010-06-16,143.9604789
2010-06-17,143.9123637
2010-06-18,143.9525833
2010-06-21,143.4293391
2010-06-22,140.985681
2010-06-23,140.6219508
2010-06-24,137.9862552
2010-06-25,138.3086625
2010-06-28,138.0478321
2010-06-29,133.4506771
2010-06-30,132.1933809
2010-07-01,132.109856
2010-07-02,131.6010539
2010-07-05,131.6010539
2010-07-06,132.2947771
2010-07-07,136.1856158
2010-07-08,137.3787078
2010-07-09,138.192046
2010-07-12,138.185078
2010-07-13,140.1952316
2010-07-14,140.2902288
2010-07-15,140.4365057
2010-07-16,136.671367
2010-07-19,137.5549792
2010-07-20,139.3159902
2010-07-21,137.5088206
2010-07-22,140.5602248
2010-07-23,142.011745
2010-07-26,143.3146673
2010-07-27,142.6484993
2010-07-28,141.6159144
2010-07-29,140.8677872
2010-07-30,141.1783084
2010-08-02,144.2983742
2010-08-03,143.589013
2010-08-04,144.8515192
2010-08-05,144.6746308
2010-08-06,144.1987448
2010-08-09,144.9115651
2010-08-10,143.9160345
2010-08-11,139.9457359
2010-08-12,139.2106069
2010-08-13,138.3882551
2010-08-16,138.3847136
2010-08-17,140.4352593
2010-08-18,140.7286323
2010-08-19,138.5738382
2010-08-20,138.0939271
2010-08-23,137.3570763
2010-08-24,135.0032413
2010-08-25,135.6770843
2010-08-26,134.6264154
2010-08-27,136.8154257
2010-08-30,134.9269922
2010-08-31,134.6327542
2010-09-01,138.6455252
2010-09-02,140.1708417
2010-09-03,142.1186822
2010-09-06,142.1186822
2010-09-07,140.7335586
2010-09-08,141.477005
2010-09-09,141.7880145
2010-09-10,142.8316524
2010-09-13,144.5351579
2010-09-14,144.8233725
2010-09-15,145.515151
2010-09-16,145.6424656
2010-09-17,145.8954001
2010-09-20,148.2227074
2010-09-21,147.9473823
2010-09-22,147.4886874
2010-09-23,146.8873991
2010-09-24,149.8632542
2010-09-27,149.1155579
2010-09-28,150.0696678
2010-09-29,149.9003971
2010-09-30,149.4627625
2010-10-01,150.06384
2010-10-04,148.6850957
2010-10-05,151.8679524
2010-10-06,151.6532645
2010-10-07,151.5623972
2010-10-08,152.7136991
2010-10-11,152.835037
2010-10-12,153.3660477
2010-10-13,154.7703112
2010-10-14,154.2640235
2010-10-15,155.2442173
2010-10-18,155.9720081
2010-10-19,153.0754581
