Date,MSCI USA Value Exposure Select Index
2010-07-23,1874.453156
2010-07-26,1897.692623
2010-07-27,1894.228934
2010-07-28,1879.316891
2010-07-29,1871.740717
2010-07-30,1875.439704
2010-08-02,1920.058809
2010-08-03,1912.472313
2010-08-04,1924.813315
2010-08-05,1927.056028
2010-08-06,1918.211343
2010-08-09,1923.104423
2010-08-10,1908.006889
2010-08-11,1850.190278
2010-08-12,1844.144248
2010-08-13,1838.228203
2010-08-16,1836.015912
2010-08-17,1858.905822
2010-08-18,1860.882549
2010-08-19,1826.862922
2010-08-20,1816.944297
2010-08-23,1808.63661
2010-08-24,1780.674632
2010-08-25,1790.187225
2010-08-26,1775.76983
2010-08-27,1808.390114
2010-08-30,1784.581557
2010-08-31,1785.775203
2010-09-01,1844.813054
2010-09-02,1862.39219
2010-09-03,1889.082405
2010-09-06,1889.082405
2010-09-07,1860.312962
2010-09-08,1871.382177
2010-09-09,1880.654421
2010-09-10,1894.596097
2010-09-13,1916.527784
2010-09-14,1918.040782
2010-09-15,1921.898692
2010-09-16,1921.436068
2010-09-17,1920.377613
2010-09-20,1955.459814
2010-09-21,1949.785369
2010-09-22,1938.067904
2010-09-23,1924.095651
2010-09-24,1965.153542
2010-09-27,1954.954318
2010-09-28,1973.117563
2010-09-29,1973.910537
2010-09-30,1966.711242
2010-10-01,1971.866079
2010-10-04,1953.382984
2010-10-05,1996.403926
2010-10-06,1993.358789
2010-10-07,1992.853727
2010-10-08,2009.670612
2010-10-11,2011.953835
2010-10-12,2019.297743
2010-10-13,2039.706328
2010-10-14,2033.97791
2010-10-15,2045.237184
2010-10-18,2058.568326
2010-10-19,2018.654893
2010-10-20,2045.096376
2010-10-21,2044.991657
2010-10-22,2049.915672
2010-10-25,2056.551675
2010-10-26,2056.634504
2010-10-27,2047.18946
2010-10-28,2049.129318
2010-10-29,2044.685101
2010-11-01,2047.21048
2010-11-02,2060.452455
2010-11-03,2066.925613
2010-11-04,2105.832569
2010-11-05,2105.02936
2010-11-08,2099.200133
2010-11-09,2082.796074
2010-11-10,2090.320925
2010-11-11,2078.834845
2010-11-12,2049.747998
2010-11-15,2047.534088
2010-11-16,2012.345321
2010-11-17,2017.05754
2010-11-18,2048.668393
2010-11-19,2054.132183
2010-11-22,2052.79347
2010-11-23,2026.467526
2010-11-24,2053.753587
2010-11-25,2053.753587
2010-11-26,2035.918413
2010-11-29,2029.259432
2010-11-30,2015.795616
2010-12-01,2063.500688
2010-12-02,2091.804967
2010-12-03,2095.668257
2010-12-06,2092.980165
2010-12-07,2099.069948
2010-12-08,2108.353761
2010-12-09,2116.060551
2010-12-10,2131.769821
2010-12-13,2128.877799
2010-12-14,2133.914746
2010-12-15,2118.332158
2010-12-16,2136.732425
2010-12-17,2138.183999
2010-12-20,2142.828967
2010-12-21,2160.034931
2010-12-22,2172.937616
2010-12-23,2171.748111
2010-12-24,2171.748111
2010-12-27,2169.878842
2010-12-28,2171.620163
2010-12-29,2174.132554
2010-12-30,2172.391327
2010-12-31,2173.88538
2011-01-03,2197.361342
2011-01-04,2198.331948
2011-01-05,2208.330941
2011-01-06,2213.486072
2011-01-07,2214.700987
2011-01-10,2207.676948
2011-01-11,2217.403893
2011-01-12,2239.069478
2011-01-13,2229.246918
2011-01-14,2245.860547
2011-01-17,2245.860547
2011-01-18,2255.50879
2011-01-19,2233.271781
2011-01-20,2234.815092
2011-01-21,2238.021524
2011-01-24,2245.801783
2011-01-25,2250.793571
2011-01-26,2262.821916
2011-01-27,2269.232208
2011-01-28,2223.413185
2011-01-31,2237.204831
2011-02-01,2282.074009
2011-02-02,2280.827022
2011-02-03,2287.374037
2011-02-04,2294.578211
2011-02-07,2309.681589
2011-02-08,2320.634531
2011-02-09,2312.539724
2011-02-10,2305.438731
2011-02-11,2314.211196
2011-02-14,2316.946512
2011-02-15,2311.623783
2011-02-16,2336.655331
2011-02-17,2352.946189
2011-02-18,2359.414681
2011-02-21,2359.414681
2011-02-22,2314.002242
2011-02-23,2292.210378
2011-02-24,2290.020301
2011-02-25,2311.004225
2011-02-28,2330.492331
2011-03-01,2295.447808
2011-03-02,2297.483645
2011-03-03,2339.847121
2011-03-04,2320.880645
2011-03-07,2301.580066
2011-03-08,2322.505619
2011-03-09,2320.235271
2011-03-10,2275.748847
2011-03-11,2295.327823
2011-03-14,2283.119227
2011-03-15,2259.292325
2011-03-16,2220.025192
2011-03-17,2251.091253
2011-03-18,2262.672174
2011-03-21,2299.752852
2011-03-22,2290.626836
2011-03-23,2299.60348
2011-03-24,2322.935995
2011-03-25,2331.208917
2011-03-28,2317.106818
2011-03-29,2330.706973
2011-03-30,2351.332963
2011-03-31,2349.596019
2011-04-01,2363.88359
2011-04-04,2363.145333
2011-04-05,2367.67126
2011-04-06,2374.629569
2011-04-07,2371.387846
2011-04-08,2362.856588
2011-04-11,2360.199127
2011-04-12,2341.825657
2011-04-13,2337.022986
2011-04-14,2334.665205
2011-04-15,2343.486519
2011-04-18,2312.533059
2011-04-19,2322.983605
2011-04-20,2356.216003
2011-04-21,2369.7769
2011-04-22,2369.7769
2011-04-25,2366.458828
